dataset,method,crossover_n,n_max,crossover,margins
diabetes130,tvae,500.0,20000,500,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": 0.006, ""pair_std"": 0.0169}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": 0.0093, ""pair_std"": 0.0085}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0066, ""pair_std"": 0.0066}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.008, ""pair_std"": 0.009}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0128, ""pair_std"": 0.0068}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0364, ""pair_std"": 0.0154}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0582, ""pair_std"": 0.0172}]"
diabetes130,tabddpm,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0358, ""pair_std"": 0.0212}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0544, ""pair_std"": 0.0108}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0433, ""pair_std"": 0.0087}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0581, ""pair_std"": 0.0069}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0963, ""pair_std"": 0.0083}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.073, ""pair_std"": 0.007}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0917, ""pair_std"": 0.004}]"
support2,ctgan,,5000,none up to 5000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.2598, ""pair_std"": 0.0575}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.3705, ""pair_std"": 0.08}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.3881, ""pair_std"": 0.102}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0565, ""pair_std"": 0.0038}, {""n"": 5000, ""best_baseline"": ""smote"", ""margin"": -0.0564, ""pair_std"": 0.0024}]"
support2,tvae,,5000,none up to 5000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.028, ""pair_std"": 0.0212}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0308, ""pair_std"": 0.017}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0081, ""pair_std"": 0.0069}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0166, ""pair_std"": 0.0043}, {""n"": 5000, ""best_baseline"": ""smote"", ""margin"": -0.0152, ""pair_std"": 0.0017}]"
support2,tabddpm,,5000,none up to 5000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.1589, ""pair_std"": 0.0624}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.207, ""pair_std"": 0.0535}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0881, ""pair_std"": 0.0853}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.1162, ""pair_std"": 0.0554}, {""n"": 5000, ""best_baseline"": ""smote"", ""margin"": -0.0538, ""pair_std"": 0.0111}]"
cardio,ctgan,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.194, ""pair_std"": 0.0849}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.2181, ""pair_std"": 0.0789}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1147, ""pair_std"": 0.056}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0291, ""pair_std"": 0.002}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0233, ""pair_std"": 0.0041}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0186, ""pair_std"": 0.0035}, {""n"": 20000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0199, ""pair_std"": 0.0057}]"
cardio,tvae,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": 0.003, ""pair_std"": 0.0115}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": 0.0057, ""pair_std"": 0.0143}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": 0.0032, ""pair_std"": 0.0062}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0108, ""pair_std"": 0.006}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0204, ""pair_std"": 0.0113}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0205, ""pair_std"": 0.0101}, {""n"": 20000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0292, ""pair_std"": 0.02}]"
cardio,tabddpm,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.0127, ""pair_std"": 0.0113}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0032, ""pair_std"": 0.0104}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0084, ""pair_std"": 0.0091}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0116, ""pair_std"": 0.0085}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.011, ""pair_std"": 0.011}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0184, ""pair_std"": 0.012}, {""n"": 20000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0244, ""pair_std"": 0.0113}]"
stroke,ctgan,,2000,none up to 2000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.2465, ""pair_std"": 0.1083}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.2321, ""pair_std"": 0.1138}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0821, ""pair_std"": 0.0452}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.1721, ""pair_std"": 0.0554}]"
stroke,tvae,,2000,none up to 2000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.1382, ""pair_std"": 0.0782}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0562, ""pair_std"": 0.0532}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0154, ""pair_std"": 0.0246}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.031, ""pair_std"": 0.0234}]"
stroke,tabddpm,,2000,none up to 2000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.1029, ""pair_std"": 0.0512}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0437, ""pair_std"": 0.0324}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0416, ""pair_std"": 0.0693}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0196, ""pair_std"": 0.0154}]"
cdc_diabetes,ctgan,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.1992, ""pair_std"": 0.0819}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.2852, ""pair_std"": 0.0842}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1824, ""pair_std"": 0.0715}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0607, ""pair_std"": 0.0214}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0289, ""pair_std"": 0.0074}, {""n"": 10000, ""best_baseline"": ""smote"", ""margin"": -0.0467, ""pair_std"": 0.0115}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0234, ""pair_std"": 0.0043}]"
cdc_diabetes,tvae,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": 0.0155, ""pair_std"": 0.0165}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": 0.0057, ""pair_std"": 0.0117}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": 0.0, ""pair_std"": 0.0139}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0133, ""pair_std"": 0.0087}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0063, ""pair_std"": 0.0037}, {""n"": 10000, ""best_baseline"": ""smote"", ""margin"": -0.0121, ""pair_std"": 0.0043}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0328, ""pair_std"": 0.0134}]"
cdc_diabetes,tabddpm,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": 0.0013, ""pair_std"": 0.029}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": 0.0028, ""pair_std"": 0.0163}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0012, ""pair_std"": 0.0108}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0058, ""pair_std"": 0.0059}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0024, ""pair_std"": 0.0035}, {""n"": 10000, ""best_baseline"": ""smote"", ""margin"": -0.0022, ""pair_std"": 0.001}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0021, ""pair_std"": 0.0016}]"
