dataset,n_train,method,tuning_budget,n_seeds,n_ok,statuses,metric_tstr_auroc_mean_mean,metric_tstr_acc_mean_mean,metric_tstr_f1_mean_mean,metric_trtr_auroc_mean_mean,metric_trtr_acc_mean_mean,metric_trtr_f1_mean_mean,metric_majority_auroc_mean,metric_c2st_auc_mean,metric_ks_mean_mean,metric_tvd_mean_mean,metric_corr_dist_mean,metric_dcr_median_mean,metric_dcr_rate_mean,metric_nndr_median_mean,metric_mia_auc_mean,lr_tstr_auroc_mean,lr_tstr_acc_mean,lr_tstr_f1_mean,lr_trtr_auroc_mean,lr_trtr_acc_mean,lr_trtr_f1_mean,rf_tstr_auroc_mean,rf_tstr_acc_mean,rf_tstr_f1_mean,rf_trtr_auroc_mean,rf_trtr_acc_mean,rf_trtr_f1_mean,xgb_tstr_auroc_mean,xgb_tstr_acc_mean,xgb_tstr_f1_mean,xgb_trtr_auroc_mean,xgb_trtr_acc_mean,xgb_trtr_f1_mean,metric_tstr_auroc_mean_std,metric_tstr_acc_mean_std,metric_tstr_f1_mean_std,metric_trtr_auroc_mean_std,metric_trtr_acc_mean_std,metric_trtr_f1_mean_std,metric_majority_auroc_std,metric_c2st_auc_std,metric_ks_mean_std,metric_tvd_mean_std,metric_corr_dist_std,metric_dcr_median_std,metric_dcr_rate_std,metric_nndr_median_std,metric_mia_auc_std,lr_tstr_auroc_std,lr_tstr_acc_std,lr_tstr_f1_std,lr_trtr_auroc_std,lr_trtr_acc_std,lr_trtr_f1_std,rf_tstr_auroc_std,rf_tstr_acc_std,rf_tstr_f1_std,rf_trtr_auroc_std,rf_trtr_acc_std,rf_trtr_f1_std,xgb_tstr_auroc_std,xgb_tstr_acc_std,xgb_tstr_f1_std,xgb_trtr_auroc_std,xgb_trtr_acc_std,xgb_trtr_f1_std,cost_fit_seconds_mean,cost_sample_seconds_mean,cost_peak_rss_mb_mean,cost_eval_seconds_mean,cost_total_seconds_mean
adult,200,copula,0,5,5,ok,0.6680716882303983,0.752699728747633,0.1641111777873469,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.9997849999999999,0.41400000000000003,0.09688888888888889,2.596246361366747,4.700836693670276,0.549,0.9455220338323453,0.5190400000000001,0.7202300561276077,0.7652080454475664,0.19937004864100713,0.868743706279276,0.8215261784124059,0.5819513019267173,0.6703898753636945,0.7581145401504683,0.08122813417975812,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.6135951331998927,0.734776600644864,0.21173535054127543,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.051828761470427524,0.012797225853458624,0.0829942475127208,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.00021403854793007807,0.013115406546839832,0.011087474859742963,0.12097331932881107,0.5006475130352683,0.1602498049920811,0.018497636867077852,0.04342671484812088,0.03542927690878887,0.004250010427951679,0.1415205161142753,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.06438841908604587,0.008119154452640758,0.06865007860252988,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.07019219327990651,0.034113259179267934,0.09529953354808317,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.181386133399792,0.027983049995964394,404.26875,1.489247849804815,3.4979040748032277
adult,200,ctgan,0,5,5,ok,0.5258048396304933,0.7042325605199856,0.15508883435557222,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.9680899999999999,0.33366666666666667,0.10166666666666666,2.865992519140133,2.8103456421456707,0.5290000000000001,0.9568174666097308,0.51309,0.5165307928024597,0.7015200368493781,0.20108387060461452,0.868743706279276,0.8215261784124059,0.5819513019267173,0.5243660237097872,0.7388607400583449,0.053153835051798506,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.5365177023792327,0.672316904652234,0.21102879741030361,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.07225467260371407,0.05189608140200459,0.08897051463547315,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.01369826175103981,0.05215029029428097,0.011739192560619689,0.11954903420972506,0.13278085849136542,0.03612478373637689,0.0028455206583385575,0.027623759021899966,0.08985765308546177,0.058699135250140075,0.14681734512606928,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.060098513849425814,0.026345578465399592,0.056986436298097395,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.12587518918232152,0.08238923111357375,0.12486389134934463,0.018727858397006466,0.012755114899599813,0.04448868602255816,3.7391736252058765,0.02151886700303294,516.640625,1.4385602084046696,7.11131495020818
adult,200,ctgan,20,5,5,ok,0.536020223306714,0.7267823327703568,0.11937604686406755,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.963955,0.29450000000000004,0.10555555555555556,2.950382626472395,2.6547746052953984,0.517,0.9604463204023949,0.52981,0.5459043870328718,0.725779210809151,0.15914168653553237,0.868743706279276,0.8215261784124059,0.5819513019267173,0.5654887564226904,0.7493013972055887,0.05246660158004239,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.49666752646457973,0.7052663902963304,0.14651985247662785,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.07322779550534979,0.025650539621077686,0.08092250392365706,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.010967984659909015,0.03537791998156791,0.01221590745960889,0.04054035705272012,0.04355997239642016,0.04266145801540309,0.002858981326121787,0.022608575530094793,0.08029540905517245,0.03388051149712954,0.09724142596644908,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.0746945618465063,0.013001686754030685,0.057650012101844866,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.07702093886287072,0.03425996634931215,0.09511907410967912,0.018727858397006466,0.012755114899599813,0.04448868602255816,7.386509874800685,0.025093949993606656,562.859375,2.027541466790717,11.571295733214356
adult,200,marginals,0,5,5,ok,0.48802291189478825,0.717682583550847,0.0960464807759696,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.849435,0.06,0.08733333333333333,2.8733892540121135,2.590598338925111,0.5429999999999999,0.9579557443637245,0.517815,0.5103775200676833,0.7167818209734378,0.12757689750095227,0.868743706279276,0.8215261784124059,0.5819513019267173,0.4675138771383175,0.7473053892215569,0.021715720212306798,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.4861773384783641,0.6889605404575464,0.13884682461464976,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.12589105584558866,0.02807021577069337,0.04327086471854972,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.020287570086138962,0.006770032003863291,0.009106706252286392,0.07154503529383653,0.04646591187379279,0.043531597719357856,0.0032948058204338073,0.019445352915285426,0.15209521637798973,0.024215307639220595,0.06648167560813466,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.12077482378483546,0.008260059798939066,0.013568181513624463,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.11520808344857238,0.05360321590367262,0.06208745454983702,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.0004552081984002143,0.002945766597986221,403.096875,1.4577603166049813,3.2368071499920914
adult,200,real_subsample,0,5,5,ok,0.8546698547973284,0.8137161574287323,0.5637091683605412,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.49261999999999995,0.0505,0.06911111111111111,1.4558517954651218,0.0,1.0,0.0,1.0,0.868743706279276,0.8215261784124059,0.5819513019267173,0.868743706279276,0.8215261784124059,0.5819513019267173,0.8607722575885765,0.8162137263933671,0.5616242538649423,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.012647710134655068,0.006395352536363169,0.036992730739204956,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.03489405572586827,0.006335525936249409,0.010293531469979425,0.21638565019740527,0.0,0.0,0.0,0.0,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.013055449095530441,0.008512769092970426,0.03841671129424903,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.0003298918076325208,0.0029706582077778875,402.465625,1.5173976252088324,3.3033648080017883
adult,200,smote,0,5,5,ok,0.8404829484877874,0.8024361533343569,0.529576568959474,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.8249549999999999,0.08650000000000001,0.12255555555555556,2.1781897720403656,1.172061055111021,0.865,0.6818328340935494,0.72732,0.8513010462021008,0.8099800399201597,0.5533151588096571,0.868743706279276,0.8215261784124059,0.5819513019267173,0.8499612188151296,0.8043605097497313,0.5303802319174048,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.820186580446132,0.7929679103331798,0.5050343161513601,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.013817227743447645,0.00755619231353078,0.04482445192097011,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.025020387936640805,0.005150512380120816,0.014046879184175212,0.31373650055750824,0.20113396709304127,0.015811388300841916,0.01621317338005777,0.0060848017634102265,0.01026756537708225,0.004934316881990966,0.037543641075543026,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.014188985026300659,0.009883552522482493,0.05115379442123495,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.02111916668332701,0.012825154928192823,0.054464086405431864,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.027094991796184333,0.014066525199450553,402.80625,1.4448281666031106,3.29732701680623
adult,200,smote,20,5,5,ok,0.8218031853793084,0.8003275500281489,0.476374617025796,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.92713,0.10299999999999998,0.1818888888888889,2.5763948877908316,1.4534543174248877,0.747,0.853025730192954,0.636535,0.8484035100390004,0.8142484262244741,0.5592152548943817,0.868743706279276,0.8215261784124059,0.5819513019267173,0.8295033119415611,0.7966835559649932,0.4523349643655674,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.7875027341573636,0.7900506678949792,0.4175736318174388,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.018713248946152082,0.008214826822068894,0.09153617571719444,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.00910994305690213,0.008928730157319228,0.018862726980365358,0.2634458183032977,0.02912465737039695,0.09384828181698375,0.019431012610980784,0.032938430252518094,0.017442468307236166,0.008910162411475589,0.050339311238055656,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.02088504418332657,0.014858981536247966,0.12610733690704962,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.023118613874326243,0.0074979908022386015,0.11029602056707884,0.018727858397006466,0.012755114899599813,0.04448868602255816,0.04484854200854897,0.01658660841640085,405.29375,2.531498558202293,4.630965291778557
adult,200,tabddpm,0,5,5,ok,0.81372922298343,0.7873074364092328,0.41094822623424543,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.77235,0.13566666666666666,0.12788888888888889,3.5234791529512806,0.8295768865100083,0.9400000000000001,0.38729580446002687,0.7362399999999999,0.8208311322506757,0.7882081989866421,0.434667343283747,0.868743706279276,0.8215261784124059,0.5819513019267173,0.8284982124801387,0.7921080915092891,0.3838132414921954,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.7918583242194754,0.7816060187317672,0.41436409392679374,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.022903365453741893,0.014004048748503447,0.09265929261513528,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.02949778593386299,0.02767243915683777,0.029985593248577497,0.6483423329453281,0.1970032735806141,0.022079402165819592,0.10257623118388758,0.03275515035837879,0.03177016373525102,0.02172065159417288,0.10646066231117406,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.01923113300195736,0.013776228861113035,0.12449618130250399,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.029597495428889484,0.01447776602776636,0.06598657339921284,0.018727858397006466,0.012755114899599813,0.04448868602255816,41.94191476680571,1.4021030418050942,489.7125,1.481837291404372,46.71492801679415
adult,200,tabddpm,20,5,5,ok,0.8339590727595386,0.800675571933057,0.5105196680220387,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.6928799999999999,0.08833333333333333,0.10300000000000001,2.6656469623630925,0.504481731588718,0.95,0.2713175648733706,0.760695,0.8408816109861539,0.8044219253800092,0.5208691109202688,0.868743706279276,0.8215261784124059,0.5819513019267173,0.8433307324446462,0.8027944111776447,0.5001124971893641,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.8176648748478158,0.794810379241517,0.5105773959564835,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.012687702332851413,0.007235603041422964,0.05263992790027224,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.031853058134188594,0.015745369689742644,0.013594661261495796,0.6017724537511672,0.0737227376833342,0.04092676385936225,0.053570403595929794,0.021611356968038776,0.01731110344032126,0.011953093466988503,0.06600330154232437,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.009603465557757504,0.0067927811057644895,0.06268502371207847,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.014524959672726287,0.00679451612689203,0.03834576424092831,0.018727858397006466,0.012755114899599813,0.04448868602255816,47.48326927481685,1.5121731084189378,498.84375,1.8469709999859334,52.743169983197006
adult,200,tvae,0,5,5,ok,0.7304222424561331,0.7703771943292901,0.1920323743162105,0.8551328903654485,0.8134295511541021,0.5636604707750204,0.5,0.976305,0.258,0.25266666666666665,2.6230654956168697,1.5179447202344414,0.633,0.875359534887793,0.540845,0.6898806643486515,0.7744203899892523,0.3362310005936778,0.868743706279276,0.8215261784124059,0.5819513019267173,0.7769610227812055,0.7682481191463227,0.10488463006901343,0.8621613642929367,0.8153539075694765,0.5614781611083799,0.7244250402385423,0.7684630738522954,0.1349814922859403,0.8344936005241328,0.8034085674804239,0.5475519492899642,0.055017151257166615,0.0050215598327616835,0.04655324949717,0.012674865048773753,0.006464523881414168,0.03851568047031357,0.0,0.005399519654561892,0.012368755439053318,0.006178916761510781,0.11806098045716173,0.06802817250256823,0.08990272520897241,0.04501453560676695,0.014455712538647142,0.12055134581056684,0.010277603415268684,0.12909427948994517,0.011568045784591925,0.007406251393253761,0.04038258810038174,0.028589094404868943,0.008941328002379227,0.0968872601548444,0.01337491246258408,0.008551864641233989,0.04245491977131971,0.04756855296302946,0.005897779461590267,0.07906817235532941,0.018727858397006466,0.012755114899599813,0.04448868602255816,1.049067383405054,0.020365758595289662,483.190625,1.5653429252037312,4.547164749808144
