cell_id,dataset,n_train,method,seed,tuning_budget,status,metric,value
adult__n1000__ctgan__seed3__budget20,adult,1000,ctgan,3,20,ok,metric_tstr_auroc_mean,0.8145933284840731
adult__n1000__ctgan__seed4__budget0,adult,1000,ctgan,4,0,ok,metric_tstr_auroc_mean,0.6006758656445389
adult__n1000__ctgan__seed4__budget20,adult,1000,ctgan,4,20,ok,metric_tstr_auroc_mean,0.8173975163877483
adult__n1000__marginals__seed0__budget0,adult,1000,marginals,0,0,ok,metric_tstr_auroc_mean,0.41629721150340826
adult__n1000__marginals__seed1__budget0,adult,1000,marginals,1,0,ok,metric_tstr_auroc_mean,0.4657255963558325
adult__n1000__marginals__seed2__budget0,adult,1000,marginals,2,0,ok,metric_tstr_auroc_mean,0.5222590717277811
adult__n1000__marginals__seed3__budget0,adult,1000,marginals,3,0,ok,metric_tstr_auroc_mean,0.4759744519648102
adult__n1000__marginals__seed4__budget0,adult,1000,marginals,4,0,ok,metric_tstr_auroc_mean,0.60124208556021
adult__n1000__real_subsample__seed0__budget0,adult,1000,real_subsample,0,0,ok,metric_tstr_auroc_mean,0.8898933764607966
adult__n1000__real_subsample__seed1__budget0,adult,1000,real_subsample,1,0,ok,metric_tstr_auroc_mean,0.8894064514076612
adult__n1000__real_subsample__seed2__budget0,adult,1000,real_subsample,2,0,ok,metric_tstr_auroc_mean,0.8883156687852088
adult__n1000__real_subsample__seed3__budget0,adult,1000,real_subsample,3,0,ok,metric_tstr_auroc_mean,0.8860876744529965
adult__n1000__real_subsample__seed4__budget0,adult,1000,real_subsample,4,0,ok,metric_tstr_auroc_mean,0.8912611429809537
adult__n1000__smote__seed0__budget0,adult,1000,smote,0,0,ok,metric_tstr_auroc_mean,0.876978480977831
adult__n1000__smote__seed0__budget20,adult,1000,smote,0,20,ok,metric_tstr_auroc_mean,0.8800685516876113
adult__n1000__smote__seed1__budget0,adult,1000,smote,1,0,ok,metric_tstr_auroc_mean,0.8741726594581208
adult__n1000__smote__seed1__budget20,adult,1000,smote,1,20,ok,metric_tstr_auroc_mean,0.8764372381915355
adult__n1000__smote__seed2__budget0,adult,1000,smote,2,0,ok,metric_tstr_auroc_mean,0.862372792898757
adult__n1000__smote__seed2__budget20,adult,1000,smote,2,20,ok,metric_tstr_auroc_mean,0.8703180349490656
adult__n1000__smote__seed3__budget0,adult,1000,smote,3,0,ok,metric_tstr_auroc_mean,0.8716237885447405
adult__n1000__smote__seed3__budget20,adult,1000,smote,3,20,ok,metric_tstr_auroc_mean,0.8720678741668558
adult__n1000__smote__seed4__budget0,adult,1000,smote,4,0,ok,metric_tstr_auroc_mean,0.8767449598646335
adult__n1000__smote__seed4__budget20,adult,1000,smote,4,20,ok,metric_tstr_auroc_mean,0.8775079015428213
adult__n1000__tabddpm__seed0__budget0,adult,1000,tabddpm,0,0,ok,metric_tstr_auroc_mean,0.8645491993561834
adult__n1000__tabddpm__seed0__budget20,adult,1000,tabddpm,0,20,ok,metric_tstr_auroc_mean,0.8734162737390204
adult__n1000__tabddpm__seed1__budget0,adult,1000,tabddpm,1,0,ok,metric_tstr_auroc_mean,0.8671237567322176
adult__n1000__tabddpm__seed1__budget20,adult,1000,tabddpm,1,20,ok,metric_tstr_auroc_mean,0.8659252199363062
adult__n1000__tabddpm__seed2__budget0,adult,1000,tabddpm,2,0,ok,metric_tstr_auroc_mean,0.8638172963826584
adult__n1000__tabddpm__seed2__budget20,adult,1000,tabddpm,2,20,ok,metric_tstr_auroc_mean,0.8690402247855662
adult__n1000__tabddpm__seed3__budget0,adult,1000,tabddpm,3,0,ok,metric_tstr_auroc_mean,0.8639432997668228
adult__n1000__tabddpm__seed3__budget20,adult,1000,tabddpm,3,20,ok,metric_tstr_auroc_mean,0.8567050050556118
adult__n1000__tabddpm__seed4__budget0,adult,1000,tabddpm,4,0,ok,metric_tstr_auroc_mean,0.8672460414904081
adult__n1000__tabddpm__seed4__budget20,adult,1000,tabddpm,4,20,ok,metric_tstr_auroc_mean,0.8639748328552858
adult__n1000__tvae__seed0__budget0,adult,1000,tvae,0,0,ok,metric_tstr_auroc_mean,0.774812650034736
adult__n1000__tvae__seed0__budget20,adult,1000,tvae,0,20,ok,metric_tstr_auroc_mean,0.8822710530117002
adult__n1000__tvae__seed1__budget0,adult,1000,tvae,1,0,ok,metric_tstr_auroc_mean,0.8291323392349862
adult__n1000__tvae__seed1__budget20,adult,1000,tvae,1,20,ok,metric_tstr_auroc_mean,0.881463272872344
adult__n1000__tvae__seed2__budget0,adult,1000,tvae,2,0,ok,metric_tstr_auroc_mean,0.8454844488351457
adult__n1000__tvae__seed2__budget20,adult,1000,tvae,2,20,ok,metric_tstr_auroc_mean,0.8612085405446305
adult__n1000__tvae__seed3__budget0,adult,1000,tvae,3,0,ok,metric_tstr_auroc_mean,0.8463020951555547
adult__n1000__tvae__seed3__budget20,adult,1000,tvae,3,20,ok,metric_tstr_auroc_mean,0.8750725454489178
adult__n1000__tvae__seed4__budget0,adult,1000,tvae,4,0,ok,metric_tstr_auroc_mean,0.8224201763617479
adult__n1000__tvae__seed4__budget20,adult,1000,tvae,4,20,ok,metric_tstr_auroc_mean,0.8740779957078888
adult__n1000__ucsmote__seed0__budget0,adult,1000,ucsmote,0,0,ok,metric_tstr_auroc_mean,0.8707309743917789
adult__n1000__ucsmote__seed0__budget20,adult,1000,ucsmote,0,20,ok,metric_tstr_auroc_mean,0.875608822902265
adult__n1000__ucsmote__seed1__budget0,adult,1000,ucsmote,1,0,ok,metric_tstr_auroc_mean,0.8784099155334529
adult__n1000__ucsmote__seed1__budget20,adult,1000,ucsmote,1,20,ok,metric_tstr_auroc_mean,0.8772852998631202
adult__n1000__ucsmote__seed2__budget0,adult,1000,ucsmote,2,0,ok,metric_tstr_auroc_mean,0.869780661253379
